Country,Country Code,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Macao SAR, China",MAC,9.00208,8.11335,11.18393,9.94646,10.44557,11.3725,12.97942,14.63311,22.32861,12.58632,11.12407,13.07057,13.73738,no data
St. Martin (French part),MAF,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Morocco,MAR,no data,no data,no data,no data,17.47064,17.29529,no data,no data,no data,no data,no data,no data,no data,no data
Monaco,MCO,5.92595,no data,no data,no data,no data,6.59881,6.36322,8.07617,8.87595,7.05922,5.00886,no data,6.59655,6.98063
Moldova,MDA,19.45202,19.29665,18.60882,19.41697,19.85008,20.99263,22.26701,21.91588,20.74197,no data,18.7651,no data,18.49182,18.3323
Madagascar,MDG,12.96077,18.03304,15.32419,18.04455,16.25814,22.58583,no data,19.7797,20.3258,13.98938,18.96677,no data,no data,no data
Maldives,MDV,19.47924,13.01498,13.34758,12.74641,12.61971,15.63228,12.46061,11.7121,12.83329,13.91374,10.34891,12.89076,11.28612,no data
Middle East & North Africa,MEA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Mexico,MEX,22.05383,21.90379,20.82432,19.88907,17.38016,18.66512,18.64259,18.42102,18.08719,16.90599,18.80594,19.01875,17.93933,no data
Marshall Islands,MHL,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Middle income,MIC,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
North Macedonia,MKD,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Mali,MLI,17.73635,16.2803,no data,no data,18.03169,16.95941,16.50391,18.25834,22.40338,16.62345,18.22426,18.15549,13.90388,no data
Malta,MLT,10.55489,no data,no data,14.53679,13.06568,12.34494,15.71921,18.9048,15.26156,18.7752,17.53777,13.15089,no data,no data
Myanmar,MMR,no data,no data,no data,no data,no data,no data,no data,5.3992,no data,no data,no data,no data,no data,10.15217
Middle East & North Africa (excluding high income),MNA,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Montenegro,MNE,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Mongolia,MNG,13.57351,no data,no data,13.28645,no data,14.51142,14.71114,12.15085,13.35302,12.32158,12.07037,12.42683,12.78848,13.49122
Northern Mariana Islands,MNP,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
Mozambique,MOZ,18.00154,22.71818,18.55004,no data,no data,no data,no data,no data,19.70182,18.97809,no data,no data,no data,no data
